GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Name,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,DATEADDED,SOURCEURL
4,"Dhaka, Dhaka, Bangladesh",BG,BG81,5778,23.7231,90.4086,-2737683,4,"Dhaka, Dhaka, Bangladesh",BG,BG81,5778,23.7231,90.4086,-2737683,20250307093000,https://www.thedailystar.net/news/bangladesh/news/hizb-ut-tahrir-march-dispersed-police-fire-tear-shells-sound-grenades-3841741
4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20250307093000,https://www.thisdaylive.com/index.php/2025/03/07/senate-suspends-akpoti-uduaghan-akpabio-gives-window-for-reconciliation/
4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20250307093000,https://www.thisdaylive.com/index.php/2025/03/07/senate-suspends-akpoti-uduaghan-akpabio-gives-window-for-reconciliation/
1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Afghanistan,AF,AF,,33.0,66.0,AF,20250307093000,https://www.khaama.com/pakistan-police-arrest-190-afghan-refugees-in-islamabad-despite-court-order/
4,"Brisbane, Queensland, Australia",AS,AS04,154654,-27.5,153.017,-1561728,4,"Brisbane, Queensland, Australia",AS,AS04,154654,-27.5,153.017,-1561728,20250307093000,https://themusic.com.au/news/irish-outfit-kneecap-plot-free-melbourne-federation-square-pop-up-gig/XEriTnFwc3I/07-03-25
4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,20250307093000,https://themusic.com.au/news/irish-outfit-kneecap-plot-free-melbourne-federation-square-pop-up-gig/XEriTnFwc3I/07-03-25
1,Mexico,MX,MX,,23.0,-102.0,MX,1,Mexico,MX,MX,,23.0,-102.0,MX,20250307093000,https://www.pymnts.com/news/retail/2025/gap-embraces-ai-shifts-focus-to-continuous-improvement-through-innovation/
1,Virgin Islands,VQ,VQ,,18.3333,-64.8333,VQ,1,Virgin Islands,VQ,VQ,,18.3333,-64.8333,VQ,20250307093000,https://www.virginislandsdailynews.com/news/local-federal-officials-pledge-to-continue-rooting-out-corruption-in-wake-of-ex-vihfa-official/article_4f626dae-fadc-11ef-9e38-3f4fced0e061.html
4,"Punta Cana, La Altagracia, Dominican Republic",DR,DR10,36924,18.5269,-68.3656,-3363835,4,"Punta Cana, La Altagracia, Dominican Republic",DR,DR10,36924,18.5269,-68.3656,-3363835,20250307093000,https://www.cbc.ca/news/business/sunwing-cancel-flights-1.7476076
1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20250307093000,https://www.nwaonline.com/news/2025/mar/07/walmart-seeks-price-cuts-in-china/
