GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
0,,,,,,,,4,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20250307094500,https://www.perthnow.com.au/news/vic/hero-jetstar-passenger-promised-free-flights-from-avalon-following-brave-act-c-17958108
0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20250307094500,https://www.ndtv.com/world-news/teen-with-gun-charged-for-endangering-australian-passenger-plane-7867631
0,,,,,,,,1,"Bahamas, The",BF,BF,,24.0,-76.0,BF,1,"Bahamas, The",BF,BF,,24.0,-76.0,BF,20250307094500,https://timesofindia.indiatimes.com/science/spacex-starship-explodes-mid-flight-debris-seen-near-bahamas/articleshow/118778054.cms
0,,,,,,,,1,Turkey,TU,TU,,39.059012,34.911546,TU,1,Turkey,TU,TU,,39.059012,34.911546,TU,20250307094500,https://timesofindia.indiatimes.com/science/spacex-starship-explodes-mid-flight-debris-seen-near-bahamas/articleshow/118778054.cms
0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,20250307094500,https://openthemagazine.com/cover-stories/state-of-her-mind/
0,,,,,,,,4,"Panipat, Haryana, India",IN,IN10,70136,29.3889,76.9681,-2107110,4,"Panipat, Haryana, India",IN,IN10,70136,29.3889,76.9681,-2107110,20250307094500,https://openthemagazine.com/cover-stories/state-of-her-mind/
0,,,,,,,,5,"Pembrokeshire, Pembrokeshire, United Kingdom",UK,UKY7,40180,51.8333,-4.91667,-2605141,5,"Pembrokeshire, Pembrokeshire, United Kingdom",UK,UKY7,40180,51.8333,-4.91667,-2605141,20250307094500,https://www.milfordmercury.co.uk/news/24988214.visit-pembrokeshire-secures-holidaycottages-co-uk-deal/
0,,,,,,,,5,"Northwest Territories, Northwest Territories, Canada",CA,CA13,25042,65.0,-118.0,-570392,5,"Northwest Territories, Northwest Territories, Canada",CA,CA13,25042,65.0,-118.0,-570392,20250307094500,https://www.cbc.ca/news/canada/daylight-saving-time-changes-1.7476106
0,,,,,,,,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,20250307094500,https://www.newsweek.com/china-2030-moon-landing-plan-lunar-base-2040581
0,,,,,,,,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20250307094500,http://europe.chinadaily.com.cn/a/202503/07/WS67caa297a310c240449d9662.html
0,,,,,,,,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,20250307094500,https://www.newsweek.com/china-2030-moon-landing-plan-lunar-base-2040581
0,,,,,,,,3,"Lutheran Church, Texas, United States",US,USTX,,31.9593,-99.9737,2023614,3,"Lutheran Church, Texas, United States",US,USTX,,31.9593,-99.9737,2023614,20250307094500,https://www.thenewsguard.com/coast_life/atonement-lutheran-to-host-earth-summit-on-march-16/article_f59f0892-d0e1-5000-9ee9-0c3d63c2c3dd.html
0,,,,,,,,3,"Dekalb, Texas, United States",US,USTX,TX037,33.5087,-94.6163,1381748,3,"Dekalb, Texas, United States",US,USTX,TX037,33.5087,-94.6163,1381748,20250307094500,https://www.kpcnews.com/thestar/article_bb97ecee-faad-11ef-a6a6-cf2a5f1b7a8b.html
0,,,,,,,,3,"Dekalb, Texas, United States",US,USTX,TX037,33.5087,-94.6163,1381748,3,"Immaculate Conception Catholic Church, Texas, United States",US,USTX,,29.408,-98.5209,2470137,20250307094500,https://www.kpcnews.com/thestar/article_bb97ecee-faad-11ef-a6a6-cf2a5f1b7a8b.html
0,,,,,,,,3,"Immaculate Conception Catholic Church, Texas, United States",US,USTX,,29.408,-98.5209,2470137,3,"Immaculate Conception Catholic Church, Texas, United States",US,USTX,,29.408,-98.5209,2470137,20250307094500,https://www.kpcnews.com/thestar/article_bb97ecee-faad-11ef-a6a6-cf2a5f1b7a8b.html
0,,,,,,,,4,"Jableh, Al Ladhiqiyah, Syria",SY,SY02,26368,35.3614,35.9256,-2542623,4,"Jableh, Al Ladhiqiyah, Syria",SY,SY02,26368,35.3614,35.9256,-2542623,20250307094500,https://www.deccanchronicle.com/world/middle-east/over-70-killed-in-syria-clashes-between-govt-forces-assad-loyalists-1865416
0,,,,,,,,3,"Honolulu, Hawaii, United States",US,USHI,HI003,21.3069,-157.858,366212,3,"Honolulu, Hawaii, United States",US,USHI,HI003,21.3069,-157.858,366212,20250307094500,https://www.tvguide.co.uk/schedule/a7dfb76b-3c5b-5fa4-a45c-695f4d81cead/hawaii-five-0
0,,,,,,,,4,"Jableh, Al Ladhiqiyah, Syria",SY,SY02,26368,35.3614,35.9256,-2542623,4,"Jableh, Al Ladhiqiyah, Syria",SY,SY02,26368,35.3614,35.9256,-2542623,20250307094500,https://www.deccanchronicle.com/world/middle-east/over-70-killed-in-syria-clashes-between-govt-forces-assad-loyalists-1865416
0,,,,,,,,5,"Auckland, Auckland, New Zealand",NZ,NZE7,22379,-36.75,174.583,11483124,5,"Auckland, Auckland, New Zealand",NZ,NZE7,22379,-36.75,174.583,11483124,20250307094500,https://www.scoop.co.nz/stories/AK2503/S00254/police-stop-referring-people-to-destiny-churchs-man-up-and-legacy-programmes.htm
0,,,,,,,,5,"Auckland, Auckland, New Zealand",NZ,NZE7,22379,-36.75,174.583,11483124,5,"Auckland, Auckland, New Zealand",NZ,NZE7,22379,-36.75,174.583,11483124,20250307094500,https://www.scoop.co.nz/stories/AK2503/S00254/police-stop-referring-people-to-destiny-churchs-man-up-and-legacy-programmes.htm
0,,,,,,,,4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,20250307094500,https://www.dawn.com/news/1896380/experts-call-for-measures-against-unregulated-traffic-noise
0,,,,,,,,3,"Salem, Oregon, United States",US,USOR,OR047,44.9429,-123.035,1167861,3,"Salem, Oregon, United States",US,USOR,OR047,44.9429,-123.035,1167861,20250307094500,https://brewpublic.com/beer-events/rogue-ales-spirits-launches-exclusive-cherry-wheat-ale-cherry-bitters-at-its-rogue-salem-public-house-on-march-15th/
0,,,,,,,,4,"Kharagpur, West Bengal, India",IN,IN28,70296,22.3333,87.3333,-2100585,4,"Kharagpur, West Bengal, India",IN,IN28,70296,22.3333,87.3333,-2100585,20250307094500,https://openthemagazine.com/cover-stories/the-frontier-ladies-of-ai/
0,,,,,,,,4,"Unrwa, West Bank (general), West Bank",WE,WE00,68767,31.8984,35.1773,11289236,4,"Unrwa, West Bank (general), West Bank",WE,WE00,68767,31.8984,35.1773,11289236,20250307094500,https://www.gulf-times.com/article/701535/region/jenin-tulkarm-and-nur-shams-refugee-camps-left-uninhabitable-unrwa
0,,,,,,,,4,"Myongji, Kyongsang-namdo, South Korea",KS,KS20,24982,34.8276,128.341,21025,4,"Myongji, Kyongsang-namdo, South Korea",KS,KS20,24982,34.8276,128.341,21025,20250307094500,https://www.aol.com/news/south-korea-prepared-freeze-medical-051359592.html
0,,,,,,,,3,"Dekalb County, Indiana, United States",US,USIN,,41.367,-85.0589,450346,3,"Dekalb County, Indiana, United States",US,USIN,,41.367,-85.0589,450346,20250307094500,https://www.kpcnews.com/thestar/article_038c3de6-faba-11ef-acc0-aff3125116b6.html
0,,,,,,,,4,"Myongji, Kyongsang-namdo, South Korea",KS,KS20,24982,34.8276,128.341,21025,4,"Myongji, Kyongsang-namdo, South Korea",KS,KS20,24982,34.8276,128.341,21025,20250307094500,https://www.aol.com/news/south-korea-prepared-freeze-medical-051359592.html
0,,,,,,,,2,"Idaho, United States",US,USID,,44.2394,-114.51,ID,2,"Idaho, United States",US,USID,,44.2394,-114.51,ID,20250307094500,https://cdapress.com/news/2025/mar/07/moving-history-forward-perry-christianson-and-further-junior-college-expansion/
